title,title_id,imdb_id,content_rating,release_date,Action_Adventure,Animation,Comedy,SciFi_Fantasy,Drama,Family,Mystery_Crime,Bio_History,Horror_Thriller,Romance
Wonka,1226,tt6166392,PG,2023-12-15,1.0,0,1,0.0,0,1,0.0,0.0,0.0,0
The Zone of Interest,1225,tt7160372,PG-13,2023-12-15,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
Concrete Utopia,1224,tt13086266,Not Rated,2023-12-08,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Poor Things,1223,tt14230458,R,2023-12-08,0.0,0,1,0.0,1,0,0.0,0.0,0.0,1
The Boy and the Heron,1222,tt6587046,PG-13,2023-12-08,1.0,1,0,0.0,1,0,0.0,0.0,0.0,0
Silent Night,1221,tt15799866,R,2023-12-01,1.0,0,0,0.0,0,0,0.0,0.0,1.0,0
Godzilla Minus One,1220,tt23289160,PG-13,2023-12-01,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Eileen,1219,tt5198890,R,2023-12-01,0.0,0,0,0.0,1,0,1.0,0.0,0.0,1
Dream Scenario,1218,tt21942866,R,2023-12-01,0.0,0,1,1.0,1,0,0.0,0.0,0.0,0
Maestro,1217,tt5535276,R,2023-11-22,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Hunger Games: The Ballad of Songbirds & Snakes,1215,tt10545296,PG-13,2023-11-17,1.0,0,0,0.0,1,0,0.0,0.0,0.0,0
Thanksgiving,1214,tt1448754,R,2023-11-17,0.0,0,1,0.0,0,0,1.0,0.0,1.0,0
Saltburn,1213,tt17351924,R,2023-11-17,0.0,0,0,0.0,1,0,0.0,0.0,1.0,0
Next Goal Wins,1212,tt10767052,PG-13,2023-11-17,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
Rustin,1211,tt14160834,PG-13,2023-11-03,0.0,0,0,0.0,1,0,0.0,1.0,0.0,0
The Marsh Kings Daughter,1209,tt8002382,R,2023-11-03,0.0,0,0,0.0,1,0,1.0,0.0,0.0,0
The Holdovers,1208,tt14849194,R,2023-10-27,0.0,0,1,0.0,1,0,0.0,0.0,0.0,0
The Killer,1207,tt1136617,R,2023-10-27,1.0,0,0,0.0,0,0,1.0,0.0,0.0,0
